,teamA,teamB,batting_first,first_inning_win_A,second_inning_win_B,4s_hitting_a,4s_hitting_b,6s_hitting_a,6s_hitting_b,wicket_taking_power_a,wicket_taking_power_b,prev_probability_A,prev_probability_B,stadium,winner
0,Royal Challengers Bengaluru,Kolkata Knight Riders,0,1.12,0.79,13.25,13.79,6.48,5.96,0,0,14,20,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders
1,Punjab Kings,Chennai Super Kings,1,1.07,1.17,13.93,13.49,6.16,6.37,0,0,14,16,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chennai Super Kings
2,Delhi Capitals,Rajasthan Royals,2,0.93,0.78,13.92,14.05,5.36,5.62,0,0,14,15,"Arun Jaitley Stadium, Delhi",Delhi Capitals
3,Mumbai Indians,Royal Challengers Bengaluru,7,1.16,1.12,13.93,13.25,6.46,6.48,0,0,19,14,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru
4,Kolkata Knight Riders,Sunrisers Hyderabad,4,1.47,0.83,13.79,13.08,5.96,5.61,0,0,26,11,"Eden Gardens, Kolkata",Kolkata Knight Riders
5,Rajasthan Royals,Punjab Kings,5,1.41,0.66,14.05,13.93,5.62,6.16,0,0,16,12,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
6,Sunrisers Hyderabad,Delhi Capitals,4,0.83,0.93,13.08,13.92,5.61,5.36,0,0,17,18,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals
7,Chennai Super Kings,Mumbai Indians,1,1.17,1.31,13.49,13.93,6.37,6.46,0,0,17,20,"MA Chidambaram Stadium, Chennai",Chennai Super Kings
8,Sunrisers Hyderabad,Rajasthan Royals,4,0.83,1.41,13.08,14.05,5.61,5.62,0,0,13,16,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals
9,Punjab Kings,Mumbai Indians,5,0.66,1.31,13.93,13.93,6.16,6.46,0,0,15,17,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings
10,Royal Challengers Bengaluru,Rajasthan Royals,3,0.81,1.41,13.25,14.05,6.48,5.62,0,0,15,14,"M. Chinnaswamy Stadium, Bengaluru",Rajasthan Royals
11,Chennai Super Kings,Kolkata Knight Riders,0,1.77,0.79,13.49,13.79,6.37,5.96,0,0,19,10,"MA Chidambaram Stadium, Chennai",Chennai Super Kings
12,Mumbai Indians,Sunrisers Hyderabad,7,1.16,0.85,13.93,13.08,6.46,5.61,0,0,19,14,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad
13,Punjab Kings,Delhi Capitals,6,1.07,0.74,13.93,13.92,6.16,5.36,0,0,17,16,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings
14,Royal Challengers Bengaluru,Chennai Super Kings,1,1.12,1.17,13.25,13.49,6.48,6.37,0,0,11,21,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings
15,Kolkata Knight Riders,Mumbai Indians,0,0.79,1.31,13.79,13.93,5.96,6.46,0,0,11,23,"Eden Gardens, Kolkata",Mumbai Indians
16,Delhi Capitals,Royal Challengers Bengaluru,6,0.74,1.12,13.92,13.25,5.36,6.48,0,0,11,19,"Arun Jaitley Stadium, Delhi",Delhi Capitals
17,Sunrisers Hyderabad,Punjab Kings,4,0.83,1.07,13.08,13.93,5.61,6.16,0,0,19,14,"Rajiv Gandhi International Stadium, Hyderabad",Punjab Kings
18,Rajasthan Royals,Kolkata Knight Riders,2,0.78,1.47,14.05,13.79,5.62,5.96,0,0,14,14,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
19,Chennai Super Kings,Delhi Capitals,1,1.17,0.93,13.49,13.92,6.37,5.36,0,0,19,11,"MA Chidambaram Stadium, Chennai",Delhi Capitals
20,Punjab Kings,Kolkata Knight Riders,5,0.66,1.47,13.93,13.79,6.16,5.96,0,0,12,21,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings
21,Royal Challengers Bengaluru,Sunrisers Hyderabad,3,0.81,0.85,13.25,13.08,6.48,5.61,0,0,16,19,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru
22,Mumbai Indians,Delhi Capitals,7,1.16,0.93,13.93,13.92,6.46,5.36,0,0,19,16,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians
23,Rajasthan Royals,Chennai Super Kings,1,1.41,1.17,14.05,13.49,5.62,6.37,0,0,13,16,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals
24,Royal Challengers Bengaluru,Punjab Kings,3,0.81,1.07,13.25,13.93,6.48,6.16,0,0,16,17,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings
25,Chennai Super Kings,Sunrisers Hyderabad,1,1.17,0.85,13.49,13.08,6.37,5.61,0,0,21,10,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad
26,Mumbai Indians,Rajasthan Royals,2,1.31,0.78,13.93,14.05,6.46,5.62,0,0,15,14,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians
