,Royal Challengers Bengaluru,Kolkata Knight Riders,Punjab Kings,Chennai Super Kings,Delhi Capitals,Rajasthan Royals,Mumbai Indians,Sunrisers Hyderabad,Kochi Tuskers Kerala,Rising Pune Supergiants,Gujarat Titans,Lucknow Super Giants
Kolkata Knight Riders,14.0,,12.0,19.0,15.0,14.0,23.0,11.0,2.0,2.0,5.0,3.0
Mumbai Indians,14.0,11.0,15.0,17.0,16.0,14.0,,14.0,1.0,5.0,5.0,5.0
Rajasthan Royals,15.0,14.0,12.0,16.0,14.0,,15.0,13.0,1.0,1.0,5.0,1.0
Chennai Super Kings,11.0,10.0,14.0,,11.0,13.0,20.0,10.0,1.0,2.0,4.0,3.0
Delhi Capitals,19.0,18.0,17.0,19.0,,15.0,19.0,17.0,1.0,4.0,3.0,3.0
Sunrisers Hyderabad,16.0,26.0,14.0,21.0,18.0,16.0,19.0,,0.0,4.0,3.0,3.0
Punjab Kings,16.0,21.0,,16.0,16.0,16.0,17.0,19.0,0.0,5.0,5.0,3.0
Kochi Tuskers Kerala,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,,
Rising Pune Supergiants,7.0,7.0,5.0,4.0,5.0,4.0,7.0,6.0,0.0,,3.0,
Gujarat Titans,6.0,2.0,4.0,3.0,6.0,1.0,4.0,6.0,,1.0,,1.0
Lucknow Super Giants,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,,,4.0,
Royal Challengers Bengaluru,,20.0,17.0,21.0,11.0,14.0,19.0,19.0,0.0,2.0,4.0,2.0
