Season,Team,Avg Powerplay Runs,Avg Death Overs Runs,Total Runs,Overs Played,Avg Runs Per Over,Win % After Winning Toss,Win % After Losing Toss,Win % When Batting First,Win % When Fielding First,Total 4s,Total 6s,Highest Score,Lowest Score,Matches Played,Wins,Winning Percentage
2008,Chennai Super Kings,53,39.14285714,2520,298.1666667,8.451648966,60,54.54545455,42.85714286,66.66666667,244,86,240,109,16,9,56.25
2008,Delhi Capitals,60.07142857,30.36363636,2118,249.1666667,8.500334448,0,50,40,55.55555556,218,54,194,87,14,7,50
2008,Kolkata Knight Riders,46.46153846,43,1942,249.1666667,7.793979933,50,42.85714286,62.5,20,162,76,222,67,13,6,46.15384615
2008,Mumbai Indians,55.21428571,38.3,2080,249.1666667,8.347826087,50,50,28.57142857,71.42857143,197,76,202,68,14,7,50
2008,Punjab Kings,59,38.76923077,2464,279.6666667,8.810488677,0,66.66666667,75,57.14285714,231,95,221,112,15,10,66.66666667
2008,Rajasthan Royals,55.1875,29.07142857,2601,297.3333333,8.747757848,81.81818182,80,80,83.33333333,259,85,217,103,16,13,81.25
2008,Royal Challengers Bengaluru,43.85714286,34.41666667,1983,266.8333333,7.431605247,0,28.57142857,0,36.36363636,187,59,181,82,14,4,28.57142857
2008,Sunrisers Hyderabad,52.71428571,41.61538462,2229,268.8333333,8.291382517,0,14.28571429,20,0,205,92,214,110,14,2,14.28571429
2009,Chennai Super Kings,58.92857143,33.71428571,2231,275.1666667,8.107813446,57.14285714,57.14285714,62.5,50,192,73,188,116,14,8,57.14285714
2009,Delhi Capitals,52.73333333,33.57142857,2131,275.3333333,7.739709443,0,66.66666667,71.42857143,62.5,188,51,189,118,15,10,66.66666667
2009,Kolkata Knight Riders,45,39.81818182,1772,244.8333333,7.237576583,28.57142857,16.66666667,16.66666667,28.57142857,143,56,189,95,13,3,23.07692308
2009,Mumbai Indians,43.92307692,36.69230769,1897,256.1666667,7.405335068,50,28.57142857,33.33333333,40,145,54,187,116,13,5,38.46153846
2009,Punjab Kings,48.14285714,31,1928,268,7.194029851,0,50,75,16.66666667,140,61,173,92,14,7,50
2009,Rajasthan Royals,41.46153846,30.54545455,1706,248.1666667,6.874412357,50,44.44444444,60,37.5,148,47,211,58,13,6,46.15384615
2009,Royal Challengers Bengaluru,45.0625,36.4,2280,310.1666667,7.35088662,0,56.25,58.33333333,50,192,67,176,87,16,9,56.25
