,bat_first_won,bat_first_lost,chase_won,chase_lost,4_hp,6_hp,w_tp
Royal Challengers Bengaluru,58.0,72.0,66.0,59.0,13.25,6.48,5.88
Kolkata Knight Riders,53.0,67.0,78.0,53.0,13.79,5.96,5.83
Punjab Kings,51.0,77.0,61.0,57.0,13.93,6.16,5.74
Chennai Super Kings,70.0,60.0,69.0,39.0,13.49,6.37,6.22
Delhi Capitals,48.0,65.0,67.0,72.0,13.92,5.36,5.97
Rajasthan Royals,45.0,58.0,69.0,49.0,14.05,5.62,5.78
Mumbai Indians,72.0,62.0,72.0,55.0,13.93,6.46,6.1
Sunrisers Hyderabad,62.0,75.0,55.0,65.0,13.08,5.61,5.91
Kochi Tuskers Kerala,2.0,5.0,4.0,3.0,12.14,3.79,5.29
Rising Pune Supergiants,11.0,24.0,17.0,24.0,11.91,4.71,5.62
Gujarat Titans,12.0,23.0,29.0,11.0,15.35,5.68,5.99
Lucknow Super Giants,16.0,7.0,8.0,13.0,13.11,7.55,6.14
