Paper_Id,Reference_Summary,Generated_Summary,ROUGE-1,ROUGE-2,ROUGE-L,BLEU
1,"This article presents a systematic overview of recent deep-learning-based models for multi-document summarization (MDS). It proposes a new taxonomy to categorize network design strategies and provides an overview of objective functions, evaluation metrics, and datasets. The article also discusses open problems and future research directions in the field. The survey aims to provide a comprehensive understanding of MDS tasks and highlight notable advances while shedding light on potential areas for further study.","We propose a taxonomy for organizing and clustering existing publications and devise the network design strategies based on the state-of-the-art methods . We also provide an overview of the existing multi-document objective functions, evaluation metrics, and datasets and discuss some of the most pressing open problems and promising future extensions in MDS research . Our survey, the first of its kind, systematically overviews the recent deep-learning-based MDS models . In this article, we have presented the first comprehensive review of the",0.6163522012578616,0.24203821656050953,0.32704402515723274,0.15710742561931904
2,"The article discusses the importance of text summarization due to the abundance of data available today. Various approaches, including abstractive and extractive methods, as well as query-based techniques, are presented. The paper focuses on structured and semantic-based approaches and discusses the datasets used for testing these methods. While the accuracy of the summaries generated using these methods can be compared, there is no specific model that generates the best summaries. The article suggests that GANs and transfer learning could be used to improve future text summarization models.","Text summarization has become very essential to gain just the right amount of information from huge texts . We see long articles in news websites, blogs, customers’ review websites, and so on. This review paper presents various approaches to generate summary of huge texts. We have seen the use of various algorithms and methods for this purpose. These methods, in individual and together give different types of summaries. Their accuracy score can be compared to find the better and more concise summary. For this purpose, ROGUE score has been used more frequently",0.3777777777777777,0.05617977528089887,0.23333333333333336,0.022227225137757864
3,The article presents a new framework for abstractive text summarization (ATS) called the LSTM-CNN based ATSDL model. This model uses a phrase extraction method called MOSP to extract key phrases from the original text and learns the collocation of phrases to generate a phrase sequence that meets the requirement of syntactic structure. The model also uses phrase location information to solve the rare words problem. Experimental results show that the ATSDL model outperforms existing state-of-the-art approaches in terms of both semantics and syntactic structure on two different datasets.,"Abstractive text summarization using LSTM-CNN based deep learningText mining . Abstractive Text Summarization (ATS), which is the task of constructing summary sentences by exploring more fine-grained fragments than sentences . Experimental results on the datasets CNN and DailyMail show that our ATSDL framework outperforms the state-of-the-art models in terms of both semantics and syntactic structure .",0.48,0.22972972972972971,0.36000000000000004,0.1485863819858312
4,"The paper proposes a method called DEXPERTS for controlled text generation by combining a pretrained language model with expert and anti-expert language models in a product of experts. The approach is applied to language detoxification and sentiment-controlled generation and outperforms existing controllable generation methods. The method is effective with small expert and anti-expert language models, and highlights the promise of tuning language models for efficient decoding-time steering towards safe and user-friendly generations.","DEXPERTS: Decoding-time Experts, Language detoxification, Sentiment-controlled generation, Pretrained language model, Ensemble learning, Small language models . Intuitively, tokens only get high probability if they are considered likely by the experts and unlikely by the anti-experts . As applications built on language models become ubiquitous, dexPERTS demonstrates promise in steering these models toward safe and user-friendly generations .",0.5037037037037037,0.24060150375939848,0.34074074074074073,0.09384487033069254
5,"The paper discusses the challenges in text-to-text generation and how incorporating internal and external knowledge can improve performance. The authors present a comprehensive survey of the research on knowledge-enhanced text generation in the past five years, covering general methods and specific techniques according to different forms of knowledge data. The survey aims to facilitate future research and help practitioners choose and employ methods for various text generation applications.","Various neural encoder-decoder models have been proposed to achieve the goal by learning to map input text to output text . However, the input text alone often provides limited knowledge to generate the desired output . This research topic is known as knowledge-enhanced text generation . In this survey, we present a comprehensive review of the research on this topic over the past five years . The main content includes two parts: (i) general methods and architectures for integrating knowledge into text generation; (ii) specific techniques",0.503225806451613,0.2222222222222222,0.2967741935483871,0.10218583954368957
6,"We used BERT and OpenAI GPT-2 pre-trained NLP models to perform text summarization on the COVID-19 Open Research Dataset Challenge corpus. Our model provides comprehensive information based on extracted keywords and can help the medical community by providing succinct summaries of articles for which abstracts are not available. Abstractive summarization is a challenging task, especially for technical, domain-specific corpora with limited training materials. However, we showed that a multi-loss training strategy could fine-tune a pre-trained language model such as GPT-2 to perform abstractive summarization, though still not at human-level performance. Further training could improve the model's accuracy with new publications becoming available.","COVID-19 Open Research Dataset Challenge has released a corpus of scholarly articles and is calling for machine learning approaches to help bridging the gap between the researchers and the rapidly growing publications . Abstractive summarization still represents a standing challenge for deep-learning NLP . The result is interpretable and reasonable, even though it is not near human-level performance . We think that our model could benefit from further training as the new coronavirus-related literature are becoming available .",0.4631578947368421,0.11702127659574468,0.2736842105263158,0.07666716909808637
7,"This research paper presents a Heart Disease Prediction System (HDPS) that uses data mining and artificial neural network techniques to predict the likelihood of a patient getting a heart disease. The system uses thirteen medical parameters including blood pressure and cholesterol, and two additional parameters, obesity and smoking, for better accuracy. The multilayer perceptron neural network model along with the back propagation algorithm is used for system development. The experimental results show that the system predicts heart disease with nearly 100% accuracy. This system can be a valuable tool for domain experts and healthcare providers to plan for better diagnoses and provide patients with early diagnosis results.","In this research paper, we have presented Heart disease prediction system (HDPS) using data mining and artificial neural network (ANN) techniques . The HDPS system predicts the likelihood of patient getting a Heart disease . For prediction, the system uses sex, blood pressure, cholesterol like 13 medical parameters . Here two more parameters are added i.e. obesity and smoking for better accuracy . From the results, it has been seen that neural network predict heart disease with nearly 100% accuracy.",0.6195652173913043,0.39560439560439553,0.5434782608695652,0.265348295653136
8,"The article discusses the use of natural language processing and sentiment classification using recurrent neural network to analyze sentiments and manifestations of Twitter users on the topic of COVID-19. The RNN model was able to accurately classify emotional polarity in ambiguous tweets and classify emotions into more articulated classes of emotional strength. The analysis showed that despite negative manifestations, overall positivity remained on social media during the pandemic. Comparisons were made against TextBlob, but the RNN model showed better results with less neutral results. The RNN model proved to be effective in categorizing emotions and making decisions even with small details.","In this work, we use a Recurrent Neural Network (RNN) to classify emotions on tweets . The trained model works much more accurately, with a smaller margin of error, in determining emotional polarity in today's ‘modern’ often with ambiguous tweets. We use this fresh scraped data collection based on the main trends (by keyword, which is mostly the ‘covid’ and coronavirus theme in this article) Where we analyse, compile, visualize statistics, and summarize",0.34285714285714286,0.0809248554913295,0.21714285714285717,0.02474856280130981
9,"The article discusses the extension of the Layer-wise Relevance Propagation (LRP) technique to recurrent neural networks, specifically those with multiplicative connections like LSTMs and GRUs. The extended LRP version was applied to a bi-directional LSTM model for sentiment prediction in sentences and produced better results than a gradient-based method. The technique is deterministic and self-contained, and can detect important patterns in text datasets. Future work includes applying the technique to other recurrent architectures and non-NLP applications.","Layer-wise Relevance Propagation (LRP) was shown to deliver insightful explanations in the form of input space relevances for understanding feed-forward neural network classification decisions . We propose a specific propagation rule applicable to multiplicative connections as they arise in recurrent neural networks such as LSTMs, GRUs, sentiment prediction, word relevances, explanation methods . In the present work, we extend the usage of LRP to a word-based bi-directional model on a five-class sentiment prediction",0.4713375796178344,0.12903225806451615,0.2929936305732484,0.10388626066276554
10,"This study reviews the recent approaches to the medical applications of feature selection, which is a useful preprocessing tool that reduces the number of input features and helps practitioners in understanding the underlying causes of certain diseases. The study covers three main types of medical applications, including medical imaging, biomedical signal processing, and DNA microarray data analysis, and examines recent studies on applications. The suitability of applying feature selection in two real-world ophthalmology problems is also demonstrated. The study highlights the need for developing more sophisticated feature selection methods to handle Big Data and online feature selection methods to provide real-time feedback, which is still a challenge for researchers.","We reviewed the most recent feature selection methods developed for and applied in medical applications . This includes medical imaging, biomedical signal processing, and DNA microarray data analysis . We also demonstrated the suitability of applying feature selection in two real-world ophthalmology problems . In one case, feature selection outperformed previous classification results; in the second case, the feature selection reduced the computation time required to extract the image features that had previously prevented the real-time use of a computer-aided system .",0.5833333333333333,0.3263157894736842,0.42708333333333337,0.21976497247471852
